Country Name,Country Code,Region,Adolescent fertility rate ,Adolescents out of school,"Children out of school, primary",Cost of business start-up procedures,Employment in agriculture ,Employment in industry,Employment in services,Firms with female participation in ownership,Labor force participation rate,Labor force with advanced education,Labor force,Life expectancy at birth,"Literacy rate, adult",Literacy rate youth ,"Population, female ",Prevalence of HIV ,Primary completion rate,Proportion of seats held by women in national parliaments,Self-employed,Start-up procedures to register a business,Time required to start a business,"Unemployment, female",Vulnerable employment,Wage and salaried workers
Mali,MLI,Sub-Saharan Africa,164.6066,37.68870926,19807892,55.1,62.58000183,5.269999981,32.15999985,55.95,57.84,NA,42.23187193,60.085,58.8786087,73.63633728,49.92102207,0.6,68.23358154,9.523809524,87.05000305,5,11,8.2,86.94000244,12.94999981
Malta,MLT,Middle East & North Africa,12.1142,12.42323971,1534877,6.7,0.449999988,8.770000458,90.77999878,46,48.37,80.54000092,41.90346594,84.7,72.77185059,87.97827148,49.86500203,0.101104596,107.8021393,14.92537313,9.819999695,5,20.5,3.61,7.189999938,90.18000031
Myanmar,MMR,East Asia & Pacific,27.9042,8.193099976,3203703,13.3,42.43999863,16.95999908,40.59999847,NA,46.23,53.24000168,40.22126098,70.119,86.26860809,95.55290222,51.80967224,NA,98.52411652,11.31639723,64.87000275,6,7,0.59,63.73999786,35.13000107
Montenegro,MNE,Europe & Central Asia,8.249,7.279900074,513874,1.2,6.610000134,7.829999924,85.55999756,24,47.8,81.51000214,44.0378819,79.303,97.94228363,99.67472076,50.55542463,0.1,97.38095093,28.39506173,13.21000004,8,12,15.69,8.569999933,86.79000092
Mongolia,MNG,East Asia & Pacific,31.8838,7.29820013,3203703,1.2,23.35000038,14.43000031,62.22000122,43.7,55.33,62.86000061,45.06901227,74.142,94.17939758,98.71144867,50.70232044,0.1,106.212677,17.33333333,45.59000015,8,12,4.75,44.63999987,54.40999985
Northern Mariana Islands,MNP,East Asia & Pacific,20.63766918,8.193099976,3203703,15.76551724,22.06199784,20.43466903,57.4970551,NA,58.83829784,NA,43.34677843,78.88453583,94.17939758,98.71144867,49.32095673,NA,98.52411652,20.50381494,45.15214845,6.233448276,22.89103448,3.433555797,43.85652136,54.8478527
Mozambique,MOZ,Sub-Saharan Africa,143.8756,37.68870926,110861,106.9,79.77999878,3.220000029,17,55.95,77.44,NA,52.25936134,63.671,58.8786087,73.63633728,51.43966897,6.5,51.2865715,41.2,93.16000366,10,17,3.5,91.65999985,6.840000153
Mauritania,MRT,Sub-Saharan Africa,68.207,25.47204971,70645,15.8,21.94000053,17.43000031,60.63000107,55.95,28.1,NA,31.091029,66.515,58.8786087,73.63633728,49.80126822,0.1,80.36560059,20.26143791,76.47000122,4,6,11.52,75.67000198,23.53000069
Mauritius,MUS,Sub-Saharan Africa,24.8222,3.759310007,19807892,0.8,3.930000067,15.13000011,80.94000244,55.95,45.04,73.05999756,39.64761198,77.56,58.8786087,73.63633728,50.61937354,0.3,100.9483719,20,13.53999996,4,4.5,9.42,12.10000038,86.45999908
Malawi,MWI,Sub-Saharan Africa,131.5186,18.13865089,19807892,32.6,82,2.859999895,15.13000011,55.95,72.53,NA,48.94376291,67.413,58.8786087,73.63633728,50.69299608,3.9,85.02787018,22.91666667,68.91999817,7,37,6.48,68.12999821,31.07999992
